plugin,timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
Recorder,783314.727575,0.003993045538663864,1787643586297.223,783314.79793404,783314.797938033
Recorder,783314.761085,0.004274072125554085,1787643586295.6372,783314.829857972,783314.829862246
Recorder,783314.794596,0.005297013558447361,1787643586298.3123,783314.866042682,783314.866047979
Recorder,783314.828106,0.004875008016824722,1787643586296.6785,783314.897919577,783314.897924452
Recorder,783314.861617,0.004191999323666096,1787643586295.3333,783314.930086369,783314.930090561
Recorder,783314.895127,0.004525994881987572,1787643586297.6687,783314.965931213,783314.965935739
Recorder,783314.928637,0.0037709251046180725,1787643586296.1562,783314.997929458,783314.997933229
Recorder,783314.962148,0.09737093932926655,1787643586294.9229,783315.030111897,783315.030209268
Recorder,783314.995658,0.004739966243505478,1787643586297.293,783315.066085755,783315.066090495
Recorder,783315.029169,0.005354057066142559,1787643586295.9238,783315.098227892,783315.098233246
Recorder,783315.062679,0.003943918272852898,1787643586298.134,783315.133949229,783315.133953173
Recorder,783315.096189,0.0047140056267380714,1787643586296.7903,783315.166114155,783315.166118869
Recorder,783315.1297,0.004874891601502895,1787643586295.2432,783315.198078138,783315.198083013
Recorder,783315.16321,0.004330999217927456,1787643586297.5222,783315.233868044,783315.233872375
Recorder,783315.196721,0.0043120235204696655,1787643586296.3145,783315.26614701,783315.266151322
Recorder,783315.230231,0.002288026735186577,1787643586294.2393,783315.297608641,783315.297610929
Recorder,783315.263741,0.004972098395228386,1787643586297.1465,783315.334022702,783315.334027674
Recorder,783315.297252,0.005550915375351906,1787643586295.7305,783315.366116872,783315.366122423
Recorder,783315.330762,0.026292982511222363,1787643586298.122,783315.40199771,783315.402024003
Recorder,783315.364273,0.004736008122563362,1787643586296.83,783315.434238769,783315.434243505
Recorder,783315.397783,0.005100970156490803,1787643586295.1296,783315.466047475,783315.466052576
Recorder,783315.431293,0.0038830330595374107,1787643586297.521,783315.501950218,783315.501954101
Recorder,783315.464804,0.02323498483747244,1787643586296.0754,783315.533996389,783315.534019624
Recorder,783315.498314,0.004166970029473305,1787643586294.5227,783315.565972624,783315.565976791
Recorder,783315.531825,0.004310975782573223,1787643586297.1946,783315.602155449,783315.60215976
Recorder,783315.565335,0.004342058673501015,1787643586295.378,783315.633848451,783315.633852793
Recorder,783315.598845,0.003958004526793957,1787643586297.903,783315.669884276,783315.669888234
Recorder,783315.632356,0.004030996933579445,1787643586296.4172,783315.70190926,783315.701913291
Recorder,783315.665866,0.005419948138296604,1787643586294.9407,783315.733941348,783315.733946768
Recorder,783315.699377,0.0042639439925551414,1787643586297.6064,783315.770119471,783315.770123735
Recorder,783315.732887,0.021746964193880558,1787643586295.9932,783315.801998158,783315.802019905
Recorder,783315.766397,0.004357076250016689,1787643586298.4377,783315.837970514,783315.837974871
Recorder,783315.799908,0.004146946594119072,1787643586296.8494,783315.869893422,783315.869897569
Recorder,783315.833418,0.004397006705403328,1787643586295.3362,783315.901889895,783315.901894292
Recorder,783315.866929,0.0043800100684165955,1787643586298.0723,783315.938137245,783315.938141625
Recorder,783315.900439,0.004464993253350258,1787643586296.3552,783315.969930098,783315.969934563
Recorder,783315.933949,0.004931935109198093,1787643586294.8228,783316.001906943,783316.001911875
Recorder,783315.96746,0.09073002729564905,1787643586297.4841,783316.037992876,783316.038083606
Recorder,783316.00097,0.004132045432925224,1787643586295.7734,783316.069879601,783316.069883733
Recorder,783316.034481,0.00482494942843914,1787643586298.5696,783316.106185897,783316.106190722
Recorder,783316.067991,0.003947061486542225,1787643586296.9114,783316.138038522,783316.138042469
Recorder,783316.101501,0.004133093170821667,1787643586295.377,783316.170013969,783316.170018102
Recorder,783316.135012,0.003990950062870979,1787643586297.7832,783316.205931428,783316.205935419
Recorder,783316.168522,0.0040809391066432,1787643586296.2812,783316.237939481,783316.237943562
Recorder,783316.202033,0.003944034688174725,1787643586295.0137,783316.270182973,783316.270186917
Recorder,783316.235543,0.004868954420089722,1787643586297.4348,783316.30611268,783316.306117549
Recorder,783316.269053,0.004921923391520977,1787643586295.797,783316.337985525,783316.337990447
Recorder,783316.302564,0.004648929461836815,1787643586298.2832,783316.373982697,783316.373987346
Recorder,783316.336074,0.004559988155961037,1787643586296.7012,783316.405910933,783316.405915493
